family,candidate_count,oracle_win_count,mean_quality_score,mean_node_f1,mean_edge_f1,mean_arg_value_f1,exact_rate
action_coverage,50,5,0.5129486439486439,0.7743644133644133,0.5917350848385331,0.5013962703962704,0.26
materialization,50,0,0.5168187738187738,0.7708189588189588,0.6206349206349207,0.5097945387945387,0.26
minimal,50,41,0.518340819674153,0.7988189588189588,0.5845101258894362,0.5093977133977133,0.26
parallel_dag,50,2,0.5323953330619997,0.8111494061494061,0.5973478628651042,0.5163356643356644,0.28
typed_dependency,50,2,0.5119840776507443,0.7737684537684537,0.5910782703886153,0.4946689976689977,0.26
