split,case_count,edge_oracle_support,mean_structural_unique_candidate_count,mean_exact_unique_candidate_count,mean_structure_diversity,mean_pairwise_structure_distance,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,46,25,1.4130434782608696,1.7173913043478262,0.1570048309178744,0.06991747181964574,0.32608695652173914,0.717391304347826,0.56,0.08695652173913043,0.2826086956521739,0.8677598971077232,0.8721077231946797,0.6776507936507936,0.7239365079365079,0.004347826086956521,0.04628571428571428,0.02817512600121296,0.02817512600121296,0.5617258881751636,0.5899010141763765
single,19,0,1.0526315789473684,1.3157894736842106,0.11695906432748537,0.011695906432748537,0.47368421052631576,0.8947368421052632,0.0,0.0,0.47368421052631576,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.6842105263157895
chain,22,20,1.7272727272727273,2.0454545454545454,0.1919191919191919,0.12270622895622896,0.22727272727272727,0.5909090909090909,0.5,0.13636363636363635,0.18181818181818182,0.8538009969828152,0.8628919060737242,0.6595634920634921,0.704920634920635,0.009090909090909089,0.045357142857142846,0.035462853644671825,0.035462853644671825,0.4857611524278191,0.521224006072491
dag,5,5,1.4,1.8,0.15555555555555556,0.058888888888888886,0.2,0.6,0.8,0.2,0.0,0.8266666666666667,0.8266666666666667,0.75,0.8,0.0,0.05,0.10317460317460318,0.10317460317460318,0.43052910052910054,0.5337037037037037
