split,case_count,edge_oracle_support,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,45,24,0.28888888888888886,0.7111111111111111,0.4583333333333333,0.1111111111111111,0.28888888888888886,0.8574138207471541,0.8672903639570306,0.6596560846560846,0.6725529100529101,0.009876543209876543,0.012896825396825398,0.005678793086200493,0.005678793086200493,0.5605718287199769,0.5662506218061774
single,19,0,0.47368421052631576,0.8947368421052632,0.0,0.0,0.47368421052631576,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.6842105263157895
chain,21,19,0.19047619047619047,0.5714285714285714,0.42105263157894735,0.19047619047619047,0.19047619047619047,0.836257129114272,0.8521301449872878,0.6434001670843776,0.6521720969089391,0.015873015873015876,0.008771929824561401,0.008328179756751184,0.008328179756751184,0.48351146208289064,0.49183964183964185
dag,5,5,0.0,0.6,0.6,0.2,0.0,0.8044444444444445,0.8266666666666667,0.7214285714285714,0.75,0.02222222222222221,0.02857142857142858,0.01613078279744946,0.01613078279744946,0.41439831773165103,0.43052910052910054
,,,,,,,,,,,,,,,,
