split,case_count,edge_oracle_support,mean_structural_unique_candidate_count,mean_exact_unique_candidate_count,mean_structure_diversity,mean_pairwise_structure_distance,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,183,92,1.273224043715847,1.4371584699453552,0.9398907103825137,0.35963064713064713,0.47540983606557374,0.7868852459016393,0.4782608695652174,0.06557377049180328,0.45901639344262296,0.9125701560127789,0.9169067119886792,0.6675708952882866,0.706084917497961,0.004336555975900239,0.038514022209674384,0.014189928670802989,0.014189928670802989,0.6654500916340624,0.6796400203048655
single,88,0,1.0568181818181819,1.1931818181818181,0.9450757575757576,0.16666666666666666,0.6363636363636364,0.9545454545454546,0.0,0.0,0.6363636363636364,0.9621212121212122,0.9621212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.795412457912458,0.795412457912458
chain,82,79,1.5,1.7073170731707317,0.9288617886178862,0.42687389770723105,0.34146341463414637,0.6097560975609756,0.4810126582278481,0.12195121951219512,0.3170731707317073,0.8578438499170207,0.8675217736193346,0.6594918443019708,0.6916853891537436,0.009677923702313948,0.0321935448517727,0.022521426179962768,0.022521426179962768,0.5500466072620545,0.5725680334420172
dag,13,13,1.3076923076923077,1.3846153846153846,0.9743589743589743,0.3333333333333333,0.23076923076923078,0.7692307692307693,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.9223443223443224,0.9223443223443224,0.7166666666666667,0.7935897435897435,0.0,0.07692307692307693,0.05769230769230769,0.05769230769230769,0.5136345136345136,0.5713268213268213
