group,case_count,edge_support_count,baseline_node_f1,policy_node_f1,node_gain,node_beats,node_ties,node_below,baseline_edge_f1,policy_edge_f1,edge_gain,edge_beats,edge_ties,edge_below,mean_unique_workflow_count,all_candidates_identical_rate,mean_candidates_equal_baseline_count
overall,5510,3230,0.8780420965995324,0.8922909617694501,0.014248865169917746,381,5129,0,0.6475127743621643,0.6888032726495665,0.04129049828740228,358,2872,0,1.3698729582577132,0.7468239564428312,4.055172413793104
chain_dag,3496,3230,0.8435198185345412,0.8659772690740857,0.02245745053954451,381,3115,0,0.6475127743621643,0.6888032726495665,0.04129049828740228,358,2872,0,1.4393592677345537,0.7039473684210527,3.8192219679633865
single,2014,0,0.93796756041046,0.93796756041046,0.0,0,2014,0,0.0,0.0,0.0,0,0,0,1.2492552135054618,0.8212512413108243,4.464746772591857
chain,2950,2731,0.8444465780148731,0.8659691091560483,0.021522531141175194,311,2639,0,0.6538004713484499,0.6942022072097244,0.04040173586127449,294,2437,0,1.4247457627118645,0.7138983050847457,3.860677966101695
dag,546,499,0.8385126015620521,0.8660213565433346,0.02750875498128247,70,476,0,0.6131005489722925,0.6592551959285426,0.046154646956250156,64,435,0,1.5183150183150182,0.6501831501831502,3.5952380952380953
