Selected Version,Model,Node n-F1,Chain n-F1,Chain e-F1,Chain NED,DAG n-F1,DAG e-F1,Overall n-F1,Overall e-F1
20260513-base,gpt-5.4-xhigh,90.65,89.91,73.42,15.44,91.67,77.78,90.65,74.23
20260512-base,gpt-5.4-xhigh,91.43,90.91,70.00,16.12,91.67,77.78,91.43,71.43
gpt5.4_multi_memory_op_20260511,gpt-5.4-xhigh,92.09,91.74,73.42,15.44,91.67,77.78,92.09,74.23
gpt5.4_single_20260507,gpt-5.4-xhigh,92.86,90.91,72.50,14.66,100.00,58.82,92.86,70.10
gemini_20260507,gemini-2.5-flash,91.85,90.57,61.33,15.33,95.65,62.50,91.85,61.54
20260430-qianwen,qwen-max,85.48,82.98,61.54,21.42,91.67,47.06,85.48,58.54
