split,case_count,edge_oracle_support,mean_structural_unique_candidate_count,mean_exact_unique_candidate_count,mean_structure_diversity,mean_pairwise_structure_distance,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,46,25,1.2173913043478262,1.4782608695652173,0.20289855072463767,0.05565217391304348,0.2826086956521739,0.6956521739130435,0.4,0.08695652173913043,0.2826086956521739,0.8593716669803626,0.868199071459941,0.638984126984127,0.6563174603174603,0.008827404479578397,0.01733333333333333,0.005274971941638611,0.005274971941638611,0.5541184124517458,0.5593933843933844
single,19,0,1.0,1.2105263157894737,0.16666666666666666,0.0,0.47368421052631576,0.8947368421052632,0.0,0.0,0.47368421052631576,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.6842105263157895
chain,22,20,1.4545454545454546,1.7727272727272727,0.2424242424242424,0.11636363636363636,0.18181818181818182,0.5454545454545454,0.4,0.18181818181818182,0.18181818181818182,0.8362619703528794,0.8547192706283615,0.6445634920634921,0.6662301587301587,0.018457300275482102,0.02166666666666666,0.011029486787062549,0.011029486787062549,0.47911387153811397,0.4901433583251765
dag,5,5,1.0,1.2,0.16666666666666666,0.0,0.0,0.6,0.4,0.0,0.0,0.8266666666666667,0.8266666666666667,0.6166666666666667,0.6166666666666667,0.0,0.0,0.0,0.0,0.3897883597883598,0.3897883597883598
