case_id,type,candidate_count,structural_unique_candidate_count,exact_unique_candidate_count,structure_diversity,mean_pairwise_structure_distance,selected_family,selected_variant,oracle_best_family,oracle_best_variant,selected_score,oracle_score,regret
16097613,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
25866928,chain,10,2,2,0.2,0.4444444444444445,original,baseline,original,baseline,0.5333333333333333,0.5333333333333333,0.0
36690562,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4841269841269841,0.4841269841269841,0.0
29292224,chain,10,3,5,0.3,0.36,original,baseline,action_coverage,step_by_step_decomposition,0.20202020202020202,0.43097643097643096,0.22895622895622894
27258164,dag,10,2,4,0.2,0.2777777777777778,original,baseline,minimal,fewest_tools,0.3333333333333333,0.537037037037037,0.20370370370370366
88388827,chain,10,1,5,0.1,0.0,original,baseline,original,baseline,0.38941798941798944,0.38941798941798944,0.0
27780863,chain,10,2,3,0.2,0.17777777777777776,original,baseline,original,baseline,0.5277777777777778,0.5277777777777778,0.0
15307439,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5396825396825397,0.5396825396825397,0.0
13018270,dag,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4740740740740741,0.4740740740740741,0.0
46051366,chain,10,2,3,0.2,0.26666666666666666,original,baseline,minimal,fewest_tools,0.126984126984127,0.22883597883597886,0.10185185185185186
30934207,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
60932031,chain,10,2,2,0.2,0.1,original,baseline,original,baseline,0.41975308641975306,0.41975308641975306,0.0
40313104,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11425996,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.48148148148148145,0.48148148148148145,0.0
13864445,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11988217,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.07407407407407407,0.07407407407407407,0.0
31733796,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
24192922,chain,10,2,2,0.2,0.06666666666666667,original,baseline,minimal,fewest_tools,0.2839506172839506,0.3576719576719577,0.0737213403880071
26103736,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
26034796,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.26102292768959434,0.26102292768959434,0.0
10135093,chain,10,2,2,0.2,0.23333333333333334,minimal,fewest_tools,minimal,fewest_tools,0.3111111111111111,0.3111111111111111,0.0
19690344,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
15414201,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.10185185185185185,0.10185185185185185,0.0
96133316,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.2222222222222222,0.2222222222222222,0.0
28319577,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.05555555555555555,0.05555555555555555,0.0
13317513,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10341217,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
87050118,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
18153929,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.2222222222222222,0.2222222222222222,0.0
13572453,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
21047396,chain,10,2,3,0.2,0.2,original,baseline,original,baseline,0.5333333333333333,0.5333333333333333,0.0
23427738,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
31893844,chain,10,4,4,0.4,0.34444444444444444,original,baseline,minimal,fewest_tools,0.2822510822510822,0.4688151354818022,0.18656405323072
51891536,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10380769,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
26171658,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
13802119,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
31310133,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
16470663,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
13917832,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
25051013,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
30872064,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
23756502,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11307128,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5555555555555556,0.5555555555555556,0.0
14570693,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
24402294,chain,10,1,2,0.1,0.0,original,baseline,parallel_dag,avoid_forcing_dags_into_chains,0.24518691185357847,0.2622809289475956,0.017094017094017117
24435782,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
17689799,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
55060571,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
12817717,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
50534924,chain,10,2,2,0.2,0.13333333333333333,original,baseline,minimal,fewest_tools,0.15167548500881836,0.3,0.14832451499118163
21964207,chain,10,3,3,0.3,0.5611111111111111,original,baseline,original,baseline,0.3552188552188552,0.3552188552188552,0.0
11174112,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
15022263,chain,10,2,2,0.2,0.23333333333333334,original,baseline,original,baseline,0.501010101010101,0.501010101010101,0.0
20075510,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
18305025,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
32746513,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
14140831,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
73849037,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
86044142,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5252525252525253,0.5252525252525253,0.0
28367485,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
41353220,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
92331102,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
27319334,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
74222240,chain,10,2,2,0.2,0.2,original,baseline,original,baseline,0.35978835978835977,0.35978835978835977,0.0
80521355,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
74496196,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,0.3703703703703704,0.3703703703703704,0.0
17004308,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
27723483,chain,10,2,2,0.2,0.23333333333333334,original,baseline,original,baseline,0.17777777777777778,0.17777777777777778,0.0
62589731,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
20522174,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
19961946,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
14798877,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
21338123,chain,10,2,2,0.2,0.2,minimal,fewest_transformations,original,baseline,0.1925925925925926,0.5185185185185186,0.325925925925926
21858748,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
33408030,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10823419,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
22015847,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
13805623,chain,10,2,6,0.2,0.06666666666666667,original,baseline,original,baseline,0.126984126984127,0.126984126984127,0.0
50911317,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
26631272,chain,10,2,5,0.2,0.05,original,baseline,original,baseline,0.2685185185185185,0.2685185185185185,0.0
11831430,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.24056437389770727,0.24056437389770727,0.0
26662211,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
29410248,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
16333963,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4666666666666667,0.4666666666666667,0.0
57619492,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
54951370,chain,10,2,2,0.2,0.26666666666666666,original,baseline,minimal,fewest_transformations,0.126984126984127,0.2698412698412699,0.14285714285714288
15217837,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
79466668,chain,10,4,4,0.4,0.26666666666666666,original,baseline,minimal,fewest_transformations,0.16666666666666666,0.2685185185185185,0.10185185185185183
41999382,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
12684292,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
24934781,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.3703703703703704,0.3703703703703704,0.0
30160324,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4634920634920634,0.4634920634920634,0.0
54658632,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
16819120,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
24723526,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
32697808,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
20812254,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
13563445,chain,10,2,2,0.2,0.2777777777777778,original,baseline,original,baseline,0.08888888888888889,0.08888888888888889,0.0
27838898,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
30238559,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11565320,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.0,0.0,0.0
61664663,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
12129501,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
29216690,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
14586035,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
19020423,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
79560754,dag,10,2,2,0.2,0.08888888888888889,original,baseline,minimal,fewest_tools,0.36666666666666664,0.4833333333333333,0.11666666666666664
12966686,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
86603182,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
65934240,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
51165983,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.2222222222222222,0.2222222222222222,0.0
62747985,chain,10,2,3,0.2,0.03333333333333333,original,baseline,original,baseline,0.5052231718898386,0.5052231718898386,0.0
29015044,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
89964487,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
22430176,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.34285714285714286,0.34285714285714286,0.0
64715735,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
70467871,dag,10,3,3,0.3,0.23333333333333334,original,baseline,original,baseline,1.0,1.0,0.0
32566527,chain,10,1,4,0.1,0.0,original,baseline,original,baseline,0.3287477954144621,0.3287477954144621,0.0
24583433,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
24144196,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
31734078,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5333333333333333,0.5333333333333333,0.0
22135879,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11545630,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4166666666666667,0.4166666666666667,0.0
82522595,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
24280969,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
25148577,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
27808739,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
28432126,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
17517454,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10798934,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
33570182,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
21781185,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.537037037037037,0.537037037037037,0.0
17603966,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
16566071,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5277777777777778,0.5277777777777778,0.0
95022990,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
20566230,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
28880937,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
29711982,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
17996213,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.42751322751322746,0.42751322751322746,0.0
23418188,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
31202256,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
29783065,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
