split,case_count,edge_oracle_support,mean_structural_unique_candidate_count,mean_exact_unique_candidate_count,mean_structure_diversity,mean_pairwise_structure_distance,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,185,94,1.2702702702702702,1.5297297297297296,0.12702702702702703,0.0446964106964107,0.4648648648648649,0.772972972972973,0.46808510638297873,0.0918918918918919,0.4486486486486487,0.9062196062196062,0.915951735951736,0.6374098124098124,0.7129210033465353,0.009732129732129733,0.07551119093672284,0.020925070925070927,0.020925070925070927,0.6543147659814327,0.6752398369065036
single,88,0,1.0340909090909092,1.1704545454545454,0.10340909090909091,0.00404040404040404,0.6363636363636364,0.9545454545454546,0.0,0.011363636363636364,0.6363636363636364,0.9583333333333334,0.9621212121212122,0.0,0.0,0.0037878787878787884,0.0,0.0008417508417508417,0.0008417508417508417,0.7945707070707071,0.795412457912458
chain,84,81,1.5119047619047619,1.9047619047619047,0.1511904761904762,0.0870628621819098,0.3333333333333333,0.5833333333333334,0.48148148148148145,0.16666666666666666,0.2976190476190476,0.8491287812716384,0.8665943844515273,0.6296278481463666,0.7040893948301356,0.017465603179888895,0.0744615466837689,0.041389210436829485,0.041389210436829485,0.5305408032590573,0.5719300136958867
dag,13,13,1.3076923076923077,1.5384615384615385,0.13076923076923078,0.046153846153846156,0.15384615384615385,0.7692307692307693,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.9223443223443224,0.9223443223443224,0.6858974358974359,0.767948717948718,0.0,0.08205128205128207,0.024643874643874637,0.024643874643874637,0.5046601546601547,0.5293040293040293
