case_id,type,candidate_count,structural_unique_candidate_count,exact_unique_candidate_count,structure_diversity,mean_pairwise_structure_distance,selected_family,selected_variant,oracle_best_family,oracle_best_variant,selected_score,oracle_score,regret
16097613,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
25866928,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5333333333333333,0.5333333333333333,0.0
36690562,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4841269841269841,0.4841269841269841,0.0
29292224,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.2716049382716049,0.2716049382716049,0.0
27258164,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.16666666666666666,0.16666666666666666,0.0
88388827,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.38941798941798944,0.38941798941798944,0.0
27780863,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5277777777777778,0.5277777777777778,0.0
15307439,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
13018270,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4740740740740741,0.4740740740740741,0.0
46051366,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.22883597883597886,0.22883597883597886,0.0
30934207,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
60932031,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.3888888888888889,0.3888888888888889,0.0
40313104,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11425996,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.48148148148148145,0.48148148148148145,0.0
13864445,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11988217,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,0.07407407407407407,0.07407407407407407,0.0
31733796,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
26103736,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
26034796,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.26102292768959434,0.26102292768959434,0.0
19690344,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
15414201,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.12063492063492065,0.12063492063492065,0.0
96133316,single,10,2,2,0.2,0.1,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
28319577,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.05555555555555555,0.05555555555555555,0.0
13317513,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10341217,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
87050118,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
18153929,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.2222222222222222,0.2222222222222222,0.0
13572453,chain,10,2,2,0.2,0.5333333333333333,original,baseline,action_coverage,strict_explicit_action_coverage,0.4423280423280423,1.0,0.5576719576719578
21047396,chain,10,2,2,0.2,0.2,original,baseline,original,baseline,0.5333333333333333,0.5333333333333333,0.0
23427738,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
51891536,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10380769,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
26171658,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
13802119,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
31310133,single,10,2,2,0.2,0.2,original,baseline,minimal,fewest_tools,0.2222222222222222,0.4444444444444444,0.2222222222222222
16470663,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
13917832,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
25051013,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
30872064,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
23756502,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11307128,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5555555555555556,0.5555555555555556,0.0
14570693,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
24402294,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,0.2622809289475956,0.2622809289475956,0.0
24435782,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
17689799,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
55060571,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
12817717,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
50534924,chain,10,2,3,0.2,0.17777777777777776,minimal,fewest_tools,original,baseline,0.15167548500881836,0.15167548500881836,0.0
21964207,chain,10,2,2,0.2,0.26666666666666666,minimal,fewest_tools,minimal,fewest_tools,0.3121693121693122,0.3121693121693122,0.0
11174112,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
15022263,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.501010101010101,0.501010101010101,0.0
20075510,chain,10,2,2,0.2,0.05,original,baseline,original,baseline,0.40493827160493834,0.40493827160493834,0.0
18305025,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
32746513,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
14140831,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
73849037,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
86044142,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5252525252525253,0.5252525252525253,0.0
28367485,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
41353220,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
92331102,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
27319334,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
74222240,chain,10,2,2,0.2,0.37333333333333335,action_coverage,preserve_every_user_requested_operation,action_coverage,preserve_every_user_requested_operation,0.35978835978835977,0.35978835978835977,0.0
80521355,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
74496196,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4259259259259259,0.4259259259259259,0.0
17004308,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
27723483,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.17777777777777778,0.17777777777777778,0.0
62589731,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
19961946,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
14798877,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
21858748,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
10823419,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
22015847,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
13805623,chain,10,2,3,0.2,0.4666666666666667,original,baseline,original,baseline,0.07407407407407407,0.07407407407407407,0.0
50911317,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
26631272,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,0.2685185185185185,0.2685185185185185,0.0
11831430,chain,10,2,2,0.2,0.08888888888888889,original,baseline,original,baseline,0.24056437389770727,0.24056437389770727,0.0
26662211,chain,10,2,2,0.2,0.3111111111111111,original,baseline,original,baseline,1.0,1.0,0.0
29410248,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
16333963,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4666666666666667,0.4666666666666667,0.0
57619492,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
54951370,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.0634920634920635,0.0634920634920635,0.0
15217837,single,10,2,2,0.2,0.4666666666666667,original,baseline,original,baseline,1.0,1.0,0.0
79466668,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.16666666666666666,0.16666666666666666,0.0
41999382,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
12684292,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5,0.5,0.0
24934781,chain,10,2,2,0.2,0.18518518518518517,original,baseline,action_coverage,strict_explicit_action_coverage,0.08888888888888889,0.14814814814814814,0.05925925925925925
