split,case_count,edge_oracle_support,mean_structural_unique_candidate_count,mean_exact_unique_candidate_count,mean_structure_diversity,mean_pairwise_structure_distance,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,86,42,1.1511627906976745,1.2209302325581395,0.11511627906976744,0.039763135228251506,0.36046511627906974,0.7325581395348837,0.42857142857142855,0.03488372093023256,0.3488372093023256,0.8784128662035638,0.8948026779422128,0.5936885865457294,0.5984504913076342,0.016389811738648948,0.004761904761904761,0.009757598129691153,0.009757598129691153,0.5904034739306057,0.6001610720602969
single,42,0,1.0714285714285714,1.0714285714285714,0.10714285714285715,0.018253968253968255,0.5238095238095238,0.9761904761904762,0.0,0.023809523809523808,0.5238095238095238,0.9523809523809523,0.9761904761904762,0.0,0.0,0.023809523809523808,0.0,0.005291005291005291,0.005291005291005291,0.732363315696649,0.7376543209876543
chain,38,36,1.263157894736842,1.4210526315789473,0.12631578947368421,0.06981481481481482,0.23684210526315788,0.5,0.4444444444444444,0.05263157894736842,0.21052631578947367,0.8050922761449077,0.8158692185007974,0.5940255731922399,0.5995811287477955,0.010776942355889723,0.005555555555555554,0.01623503202450571,0.01623503202450571,0.4670451218696833,0.483280153894189
dag,6,6,1.0,1.0,0.1,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.825,0.825,0.5916666666666667,0.5916666666666667,0.0,0.0,0.0,0.0,0.3779541446208113,0.3779541446208113
