split,case_count,edge_oracle_support,mean_structural_unique_candidate_count,mean_exact_unique_candidate_count,mean_structure_diversity,mean_pairwise_structure_distance,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,182,91,1.0,1.0,1.0,0.0,0.45604395604395603,0.7637362637362637,0.43956043956043955,0.0,0.45604395604395603,0.9135303951238017,0.9135303951238017,0.6710773353630497,0.6710773353630497,0.0,0.0,0.0,0.0,0.6646815316687111,0.6646815316687111
single,88,0,1.0,1.0,1.0,0.0,0.6363636363636364,0.9545454545454546,0.0,0.0,0.6363636363636364,0.9621212121212122,0.9621212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.795412457912458,0.795412457912458
chain,81,78,1.0,1.0,1.0,0.0,0.30864197530864196,0.5555555555555556,0.44871794871794873,0.0,0.30864197530864196,0.8593257908072723,0.8593257908072723,0.6600603100603101,0.6600603100603101,0.0,0.0,0.0,0.0,0.5458204537422644,0.5458204537422644
dag,13,13,1.0,1.0,1.0,0.0,0.15384615384615385,0.7692307692307693,0.38461538461538464,0.0,0.15384615384615385,0.9223443223443224,0.9223443223443224,0.7371794871794872,0.7371794871794872,0.0,0.0,0.0,0.0,0.5203296703296703,0.5203296703296703
