source_tool,target_tool,count,workflows,source_tool_id,source_content_id,source_tool_version,source_repo_name,source_repo_owner,source_repo_tool_shed,source_repo_changeset_revision,target_tool_id,target_content_id,target_tool_version,target_repo_name,target_repo_owner,target_repo_tool_shed,target_repo_changeset_revision
NCBI Accession Download,NormalizeFasta,1,Genomics-3-MRCA,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.5+galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.5+galaxy0,0.2.5+galaxy0,ncbi_acc_download,iuc,toolshed.g2.bx.psu.edu,1c58de56d587,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/2.18.2.1,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/2.18.2.1,2.18.2.1,picard,devteam,toolshed.g2.bx.psu.edu,6f9c0884a3e7
NormalizeFasta,Text transformation,1,Genomics-3-MRCA,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/2.18.2.1,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/2.18.2.1,2.18.2.1,picard,devteam,toolshed.g2.bx.psu.edu,6f9c0884a3e7,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1,1.1.1,text_processing,bgruening,toolshed.g2.bx.psu.edu,0a8c6b61f0f4
Remove beginning,Convert,1,Genomics-3-MRCA,Remove beginning1,Remove beginning1,1.0.0,,,,,Convert characters1,Convert characters1,1.0.0,,,,
SPAdes,Bandage Image,1,Genomics-2-Assembly,toolshed.g2.bx.psu.edu/repos/nml/spades/spades/3.12.0+galaxy1,toolshed.g2.bx.psu.edu/repos/nml/spades/spades/3.12.0+galaxy1,,spades,nml,toolshed.g2.bx.psu.edu,b8c00ce5dfa0,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image/0.8.1+galaxy2,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image/0.8.1+galaxy2,,bandage,iuc,toolshed.g2.bx.psu.edu,b2860df42e16
SPAdes,Bandage Info,1,Genomics-2-Assembly,toolshed.g2.bx.psu.edu/repos/nml/spades/spades/3.12.0+galaxy1,toolshed.g2.bx.psu.edu/repos/nml/spades/spades/3.12.0+galaxy1,,spades,nml,toolshed.g2.bx.psu.edu,b8c00ce5dfa0,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_info/0.8.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_info/0.8.1+galaxy1,,bandage,iuc,toolshed.g2.bx.psu.edu,b2860df42e16
Samtools stats,MultiQC,1,Genomics-4-PE_Variation,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.2+galaxy2,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.2+galaxy2,2.0.2+galaxy2,samtools_stats,devteam,toolshed.g2.bx.psu.edu,145f6d74ff5e,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,1.7|1.7.1,multiqc,iuc,toolshed.g2.bx.psu.edu,3d93dd18d9f8|b2f1f75d49c4
SnpEff build:,Bowtie2,1,Genomics-4-SE_Variation,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,4.3+T.galaxy4,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,2.3.4.3+galaxy0,bowtie2,devteam,toolshed.g2.bx.psu.edu,749c918495f7
SnpEff build:,Map with BWA-MEM,1,Genomics-4-PE_Variation,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,4.3+T.galaxy4,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,bwa,devteam,toolshed.g2.bx.psu.edu,01ac0a5fedc3
Text transformation,Collapse Collection,1,Genomics-3-MRCA,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1,1.1.1,text_processing,bgruening,toolshed.g2.bx.psu.edu,0a8c6b61f0f4,toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/4.1,toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/4.1,4.1,collapse_collections,nml,toolshed.g2.bx.psu.edu,33151a38533a
fastp,Bowtie2,1,Genomics-4-SE_Variation,toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,0.19.3.3|0.19.5+galaxy1,fastp,iuc,toolshed.g2.bx.psu.edu,1d8fe9bc4cb0|a935cbdf1c0e,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,2.3.4.3+galaxy0,bowtie2,devteam,toolshed.g2.bx.psu.edu,749c918495f7
tranalign,FASTTREE,1,Genomics-6-RecombinationSelection,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,5.0.0,emboss_5,devteam,toolshed.g2.bx.psu.edu,dba489bfcd62,toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree/2.1.10+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree/2.1.10+galaxy1,2.1.10+galaxy1,fasttree,iuc,toolshed.g2.bx.psu.edu,e005e659ae21
tranalign,HyPhy-GARD,1,Genomics-6-RecombinationSelection,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,5.0.0,emboss_5,devteam,toolshed.g2.bx.psu.edu,dba489bfcd62,toolshed.g2.bx.psu.edu/repos/iuc/hyphy_gard/hyphy_gard/2.5.4+galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/hyphy_gard/hyphy_gard/2.5.4+galaxy0,,hyphy_gard,iuc,toolshed.g2.bx.psu.edu,6283babe736e
tranalign,HyPhy-aBSREL,1,Genomics-6-RecombinationSelection,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,5.0.0,emboss_5,devteam,toolshed.g2.bx.psu.edu,dba489bfcd62,toolshed.g2.bx.psu.edu/repos/iuc/hyphy_absrel/hyphy_absrel/2.5.4+galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/hyphy_absrel/hyphy_absrel/2.5.4+galaxy0,,hyphy_absrel,iuc,toolshed.g2.bx.psu.edu,f73435dc282b
