node_id,tool_name,tool_id,content_id,tool_version,repo_name,repo_owner,repo_tool_shed,repo_changeset_revision
n_multiqc,MultiQC,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,1.7|1.7.1,multiqc,iuc,toolshed.g2.bx.psu.edu,3d93dd18d9f8|b2f1f75d49c4
n_ncbi_accession_download,NCBI Accession Download,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.5+galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.5+galaxy0,0.2.5+galaxy0,ncbi_acc_download,iuc,toolshed.g2.bx.psu.edu,1c58de56d587
n_nanoplot,NanoPlot,toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot/1.25.0+galaxy1|toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot/1.28.2+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot/1.25.0+galaxy1|toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot/1.28.2+galaxy1,1.25.0+galaxy1|1.28.2+galaxy1,nanoplot,iuc,toolshed.g2.bx.psu.edu,645159bcee2d|edbb6c5028f5
n_normalizefasta,NormalizeFasta,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/2.18.2.1,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/2.18.2.1,2.18.2.1,picard,devteam,toolshed.g2.bx.psu.edu,6f9c0884a3e7
n_realign_reads,Realign reads,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,2.1.3.1+galaxy1,lofreq_viterbi,iuc,toolshed.g2.bx.psu.edu,cdaab621d454
n_remove_beginning,Remove beginning,Remove beginning1,Remove beginning1,1.0.0,,,,
n_spades,SPAdes,toolshed.g2.bx.psu.edu/repos/nml/spades/spades/3.12.0+galaxy1,toolshed.g2.bx.psu.edu/repos/nml/spades/spades/3.12.0+galaxy1,,spades,nml,toolshed.g2.bx.psu.edu,b8c00ce5dfa0
n_samtools_fastx,Samtools fastx,toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.9+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.9+galaxy1,1.9+galaxy1,samtools_fastx,iuc,toolshed.g2.bx.psu.edu,a8d69aee190e
n_samtools_stats,Samtools stats,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.2+galaxy2,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.2+galaxy2,2.0.2+galaxy2,samtools_stats,devteam,toolshed.g2.bx.psu.edu,145f6d74ff5e
n_snpeff_build,SnpEff build:,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,4.3+T.galaxy4,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52
n_snpeff_eff,SnpEff eff:,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,4.3+T.galaxy1,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52
n_snpsift_extract_fields,SnpSift Extract Fields,toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,4.3+t.galaxy0,snpsift,iuc,toolshed.g2.bx.psu.edu,2b3e65a4252f
n_text_transformation,Text transformation,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1,1.1.1,text_processing,bgruening,toolshed.g2.bx.psu.edu,0a8c6b61f0f4
n_fastp,fastp,toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,0.19.3.3|0.19.5+galaxy1,fastp,iuc,toolshed.g2.bx.psu.edu,1d8fe9bc4cb0|a935cbdf1c0e
n_tranalign,tranalign,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,5.0.0,emboss_5,devteam,toolshed.g2.bx.psu.edu,dba489bfcd62
n_transeq,transeq,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,emboss_5,devteam,toolshed.g2.bx.psu.edu,dba489bfcd62
