split,case_count,edge_oracle_support,mean_structural_unique_candidate_count,mean_exact_unique_candidate_count,mean_structure_diversity,mean_pairwise_structure_distance,exact_oracle_rate,node_oracle_rate,edge_oracle_rate,oracle_better_rate,selected_exact_rate,selected_mean_node_f1,best_mean_node_f1,selected_mean_edge_f1,best_mean_edge_f1,mean_node_oracle_gain,mean_edge_oracle_gain,mean_quality_oracle_gain,mean_rerank_regret,mean_selected_quality_score,mean_best_quality_score
overall,46,25,1.3695652173913044,1.6521739130434783,0.13695652173913045,0.057657004830917874,0.30434782608695654,0.6956521739130435,0.52,0.13043478260869565,0.2826086956521739,0.8628850617981053,0.8701314386096994,0.622984126984127,0.7172698412698413,0.007246376811594204,0.09428571428571428,0.02725146565726276,0.02725146565726276,0.5533384087731914,0.5805898744304542
single,19,0,1.0,1.1578947368421053,0.1,0.0,0.47368421052631576,0.8947368421052632,0.0,0.0,0.47368421052631576,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.6842105263157895
chain,22,20,1.7272727272727273,2.090909090909091,0.17272727272727273,0.10843434343434344,0.22727272727272727,0.5454545454545454,0.5,0.22727272727272727,0.18181818181818182,0.8436081595172504,0.8587596746687656,0.624563492063492,0.7090873015873016,0.015151515151515154,0.08452380952380951,0.047721078024108333,0.047721078024108333,0.47748295475568203,0.5252040327797903
dag,5,5,1.2,1.6,0.12000000000000001,0.05333333333333333,0.0,0.6,0.6,0.2,0.0,0.8266666666666667,0.8266666666666667,0.6166666666666667,0.75,0.0,0.13333333333333336,0.04074074074074073,0.04074074074074073,0.3897883597883598,0.43052910052910054
