case_id,type,candidate_count,structural_unique_candidate_count,exact_unique_candidate_count,structure_diversity,mean_pairwise_structure_distance,selected_family,selected_variant,oracle_best_family,oracle_best_variant,selected_score,oracle_score,regret
16097613,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
25866928,chain,10,3,3,0.3,0.3844444444444445,original,baseline,original,baseline,0.5333333333333333,0.5333333333333333,0.0
36690562,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4841269841269841,0.4841269841269841,0.0
29292224,chain,10,4,5,0.4,0.44,original,baseline,action_coverage,step_by_step_decomposition,0.20202020202020202,0.43097643097643096,0.22895622895622894
27258164,dag,10,2,3,0.2,0.26666666666666666,original,baseline,minimal,fewest_tools,0.3333333333333333,0.537037037037037,0.20370370370370366
88388827,chain,10,2,4,0.2,0.2,original,baseline,parallel_dag,avoid_forcing_dags_into_chains,0.38941798941798944,1.0,0.6105820105820106
27780863,chain,10,2,3,0.2,0.15555555555555556,original,baseline,minimal,fewest_transformations,0.45370370370370366,0.5277777777777778,0.07407407407407413
15307439,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5396825396825397,0.5396825396825397,0.0
13018270,dag,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4740740740740741,0.4740740740740741,0.0
46051366,chain,10,2,3,0.2,0.1,original,baseline,original,baseline,0.22883597883597886,0.22883597883597886,0.0
30934207,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
60932031,chain,10,3,3,0.3,0.4,original,baseline,original,baseline,0.41975308641975306,0.41975308641975306,0.0
40313104,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11425996,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.48148148148148145,0.48148148148148145,0.0
13864445,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11988217,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.07407407407407407,0.07407407407407407,0.0
31733796,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
24192922,chain,10,2,2,0.2,0.17777777777777776,original,baseline,minimal,fewest_transformations,0.2839506172839506,0.3576719576719577,0.0737213403880071
26103736,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
26034796,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.26102292768959434,0.26102292768959434,0.0
10135093,chain,10,2,3,0.2,0.1,original,baseline,original,baseline,0.34285714285714286,0.34285714285714286,0.0
19690344,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
15414201,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.10185185185185185,0.10185185185185185,0.0
96133316,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.2222222222222222,0.2222222222222222,0.0
28319577,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.05555555555555555,0.05555555555555555,0.0
13317513,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10341217,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
87050118,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
18153929,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.2222222222222222,0.2222222222222222,0.0
13572453,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
21047396,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,0.5333333333333333,0.5333333333333333,0.0
23427738,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
31893844,chain,10,5,5,0.5,0.42777777777777776,original,baseline,parameter_copy,exact_parameter_copy,0.4062850729517396,0.4688151354818022,0.0625300625300626
51891536,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
10380769,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
26171658,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
13802119,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
31310133,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
16470663,single,10,1,2,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
13917832,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
25051013,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
30872064,single,10,1,1,0.1,0.0,original,baseline,original,baseline,0.4444444444444444,0.4444444444444444,0.0
23756502,single,10,1,1,0.1,0.0,original,baseline,original,baseline,1.0,1.0,0.0
11307128,dag,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5555555555555556,0.5555555555555556,0.0
14570693,chain,10,1,1,0.1,0.0,original,baseline,original,baseline,0.5185185185185186,0.5185185185185186,0.0
24402294,chain,10,1,2,0.1,0.0,original,baseline,original,baseline,0.2622809289475956,0.2622809289475956,0.0
