Date,OutputSet,RunTag,Model,LLM,Domain,Overall n-F1,Overall Node Macro-F1,Overall e-F1,Chain n-F1,Chain e-F1,Chain NED,DAG n-F1,DAG e-F1,Total Predictions,Badcase Count,Badcase Rate,Node OK in Badcase,Node Mismatch in Badcase
2026-05-27,three_tables_qwen3-14b_use_demos_2_reformat_by_self,20260527,qwen3-14b,qwen3-14b,Multimedia Tool,87.08,87.18,62.87,86.28,64.13,17.96,85.87,59.65,5538,3187,57.55,1233,1954
2026-05-15,three_tables,20260515,gpt-5.4-xhigh,FlowAgent(qianwen),Multimedia Tool,88.73,67.45,64.00,86.49,66.67,20.41,96.00,52.63,20,14,70.00,4,10
