family,candidate_rows,edge_support,mean_node_f1,mean_edge_f1,mean_overall_f1,generated_parse_success,generated_parse_total,generated_parse_success_rate
action_coverage,3611,3182,0.8222308634399143,0.6522211149092134,0.7390874381291733,3576,3611,0.9903073940736639
branch_preserving,612,564,0.8315762324629107,0.6048462071928905,0.7250118034972418,609,612,0.9950980392156863
minimal,2999,2618,0.8240272935715535,0.6622061920763219,0.7453586834319137,2968,2999,0.9896632210736912
original,5510,3230,0.8780420965995323,0.6475127743621643,0.8206453173263518,0,0,
parallel_dag,612,564,0.8346511713221633,0.6060487575975686,0.7275737794660805,610,612,0.9967320261437909
typed_dependency,3611,3182,0.8221921256000133,0.6521506235596523,0.7391676642201997,3580,3611,0.991415120465245
