family,support,node_strict_improved_cases,node_strict_improved_rate,mean_node_gain_vs_baseline,edge_support,edge_strict_improved_cases,edge_strict_improved_rate,mean_edge_gain_vs_baseline,overall_strict_improved_cases,overall_strict_improved_rate,mean_overall_gain_vs_baseline
action_coverage,3611,253,0.07006369426751592,0.016294218412745153,3182,203,0.06379635449402891,0.022027577841531337,304,0.08418720576017724,0.02048608579062912
branch_preserving,612,45,0.07352941176470588,0.012582669690512829,564,47,0.08333333333333333,0.021596222926010163,65,0.10620915032679738,0.01608128164500713
minimal,2999,217,0.07235745248416138,0.01944784865758526,2618,137,0.05233002291825821,0.019750205655476867,246,0.0820273424474825,0.022638965828362303
parallel_dag,612,45,0.07352941176470588,0.012892145980381275,564,49,0.08687943262411348,0.024170411936369384,70,0.11437908496732026,0.017967895847797805
typed_dependency,3611,240,0.06646358349487677,0.015064223600640119,3182,187,0.058768070395977375,0.019602680649192284,295,0.08169482137911936,0.01856345137984575
