split,case_count,edge_support,baseline_node_f1,oracle_node_best_f1,node_gain,node_improved_cases,node_improved_rate,baseline_edge_f1,oracle_edge_best_f1,edge_gain,edge_improved_cases,edge_improved_rate,baseline_overall_f1,oracle_overall_best_f1,overall_gain,overall_improved_cases,overall_improved_rate,mean_candidate_count,mean_structural_unique,mean_exact_unique,all_candidates_identical_cases,all_candidates_identical_rate
overall,5510,3230,0.8780420965995323,0.895627945918594,0.01758584931906166,401,0.07277676950998185,0.6475127743621643,0.6816162628928973,0.03410348853073311,310,0.09597523219814241,0.8206453173263518,0.8424053407655415,0.02176002343918966,485,0.08802177858439202,3.077132486388385,1.368421052631579,1.4181488203266788,3850,0.6987295825771325
v4_single,1899,48,0.9741467940520073,0.9741467940520073,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.9683530178790842,0.9683530178790842,0.0,0,0.0,1.0,1.0,1.0,1899,1.0
v4_chain,2999,2618,0.8252734419250709,0.8527965699400295,0.027523128014958625,322,0.10736912304101368,0.6655494195983119,0.6988491518667226,0.033299732268410646,225,0.08594346829640948,0.7446949122988195,0.7783731292506276,0.03367821695180815,368,0.12270756918972991,4.0,1.5188396132044015,1.5945315105035012,1666,0.5555185061687229
v4_dag,612,564,0.8384185261852505,0.8618763183930427,0.023457792207792205,79,0.12908496732026145,0.6188969515627839,0.6596337758102464,0.04073682424746255,85,0.15070921985815602,0.7344988162281991,0.7653758693515037,0.030877053123304566,117,0.19117647058823528,5.0,1.7745098039215685,1.8513071895424837,285,0.46568627450980393
gold_single,2014,0,0.9379675604104601,0.9531943065210196,0.015226746110559419,66,0.03277060575968222,,,,0,,0.9379675604104601,0.9531943065210196,0.015226746110559419,66,0.03277060575968222,1.2517378351539226,1.0719960278053624,1.079940417080437,1912,0.9493545183714002
gold_chain,2950,2731,0.8444465780148731,0.8628765566990891,0.01842997868421597,275,0.09322033898305085,0.6538004713484499,0.6877699763542053,0.03396950500575546,256,0.09373855730501647,0.7563941877331708,0.7816585247863912,0.025264337053220405,345,0.11694915254237288,4.057966101694915,1.5291525423728813,1.6040677966101695,1644,0.5572881355932203
gold_dag,546,499,0.8385126015620521,0.8602395721901216,0.02172697062806953,60,0.10989010989010989,0.6131005489722925,0.6479373220856187,0.03483677311332622,54,0.10821643286573146,0.7350296300158937,0.7619550296061285,0.026925399590234756,74,0.13553113553113552,4.510989010989011,1.5934065934065933,1.6611721611721613,294,0.5384615384615384
